,val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,iteration
0,0.000103952786929,0.0,1.0,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,1.0,0.0,10.0,0.0
1,0.0005025548038172,1.5360685699999976,1.0,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,-3.6030226701947647,0.0,10.0,1.0
8,6.713349384006312,0.6979307540000264,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,-3.6030226701947647,0.0,10.0,8.0
14,6.842683521827457,0.6890365159999874,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,-3.6030226701947647,0.0,41.18640189127382,14.0
58,6.904926627733773,0.7187401589999922,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,-3.6030226701947647,0.0,-26.85011654191443,58.0
115,7.462629298252765,0.7202159940000001,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,10.0,-3.6030226701947647,0.0,-26.85011654191443,115.0
273,7.759497844154048,0.6960782170000357,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,10.0,-3.6030226701947647,0.0,-61.79466176392184,273.0
351,8.883407088742782,0.6983954039999389,-7.652999397809784,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,10.0,-3.3356844369694643,0.0,-61.79466176392184,351.0
