val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27
5.314777612133577e-06,0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,18.0,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.8800139659997512,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.7910303339995153,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.3459230389998993,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.4213632060000236,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,0.7388368590000027,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.4314291300006516,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.3739558940005736,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.4020611309997548,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.4049293269999907,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.3762043699998685,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.295336633000261,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.3118637063174405e-05,1.4709408510007052,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.4760917350004092,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.427152426000248,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,0.9454091850002442,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.4837491540001793,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.4698215930002334,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.1668505859997822,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
1.6876657352547282e-05,1.4078737139998339,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0
