val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
0.45569936672607664,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
1.0441103517044543,1.1235890940006357,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
1.0620868765991898,1.252865604001272,1.0,1.0,1.0,1.0,-4.8838254999040505,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
1.0620868765991898,0.966662112999984,1.0,1.0,1.0,1.0,-4.8838254999040505,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
1.0620868765991898,0.8385762850011815,1.0,1.0,1.0,1.0,-4.8838254999040505,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
1.7263719428518918,0.8945294869990903,1.0,1.0,1.0,1.0,-8.014122558391938,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
2.3749289497261468,0.8736984970000776,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
2.3749289497261468,0.8869804820005811,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
2.3749289497261468,0.8612881799999741,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
2.8104852849788644,0.8726829749994067,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0
2.9025982604545244,0.8394399469998461,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,0.0
2.9025982604545244,0.9505513089989108,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,0.0
3.2760378414715414,0.8981933539998863,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913
3.700133520036878,0.968129716000476,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913
3.700133520036878,1.6034903060008219,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913
3.700133520036878,1.0592704539994884,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913
3.700133520036878,0.9887257570007932,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913
5.294764994241994,0.8808481819996814,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935
5.294764994241994,1.020205855000313,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935
5.294764994241994,1.16580101800173,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935
5.294764994241994,1.1586413130007713,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935
5.294764994241994,1.2329290309990029,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935
5.665212277360917,1.088612601000932,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.7884450840010686,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.13364287100012,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.178960487999575,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.2398771420012054,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.6094981299993378,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.9804992230001517,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,1.1041309899992484,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.9494767319993116,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.9556439320003847,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.8653298139997787,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.9083012730006885,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.8169047280007362,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.665212277360917,0.8523539859997982,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.7905353530004504,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8705811769996217,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.859998871001153,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9490389589991537,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9731648699998914,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.917021310000564,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8197538740005257,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8811327109997364,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8576799849997769,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9401506829999562,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,1.1083055330000207,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8717784350010334,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9028956450001715,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9865094540000428,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9005011729987018,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9012495150000177,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9545363239994913,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9808674270007032,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8994494470007339,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8719301809996978,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.8778779790009139,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,1.183121353999013,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9619612360002066,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.7158163769237404,0.9080778259994986,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
