val,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
14.259163131298347,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0
14.259163131298347,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0
14.259163131298347,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0
14.259163131298347,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0
74.22621030784448,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,-3.8740804464716927
74.22621030784448,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,-3.8740804464716927
74.22621030784448,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,-3.8740804464716927
74.22621030784448,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
81.06229183774923,1.0,1.0,0.0,1.0,0.0,1.0,-10.0,1.0,-3.141592653589793,0.0,-3.8740804464716927
